	run	F1	Acc	P@1	AUCROC	AUCPR	RankAvgPrec	CovErr	CovErrNorm	
nMMSBM_[1]	93	0.2933	0.1545	0.5598	0.7483	0.2660	0.4648	57.1726	0.2042	
nMMSBM_[1]	94	0.2915	0.1545	0.5596	0.7487	0.2659	0.4645	56.6528	0.2023	
nMMSBM_[1]	95	0.2919	0.1664	0.5582	0.7471	0.2656	0.4643	56.8655	0.2031	
nMMSBM_[1]	96	0.2922	0.1546	0.5583	0.7467	0.2660	0.4642	57.0634	0.2038	
nMMSBM_[1]	97	0.2870	0.1546	0.5438	0.7452	0.2649	0.4605	57.2795	0.2046	
nMMSBM_[1]	98	0.2921	0.1545	0.5594	0.7482	0.2659	0.4645	57.0294	0.2037	
nMMSBM_[1]	99	0.2919	0.1545	0.5585	0.7471	0.2660	0.4646	56.7889	0.2028	
KNN_[1]	0	0.1059	0.0049	0.3236	0.5560	0.1558	0.1642	267.6263	0.9558	
Rand_[1]	0	0.1607	0.0047	0.0118	0.4978	0.1032	0.0347	198.6161	0.7093	
NB_[2]	0	0.2276	0.0078	0.1459	0.6712	0.2416	0.2710	77.2145	0.2758	
NMF_[2]	0	0.1608	0.0051	0.0230	0.5642	0.2139	0.2054	82.6102	0.2950	
PF_[2]	0	0.3214	0.1747	0.5721	0.7878	0.2906	0.4901	48.3780	0.1728	
TF_[2]	0	0.1607	0.0052	0.1003	0.5261	0.1514	0.1459	148.4802	0.5303	
BL_[2]	0	0.1607	0.0052	0.1003	0.5000	0.1026	0.2464	79.3421	0.2834	
nMMSBM_[2]	0	0.3129	0.1790	0.5705	0.7609	0.2845	0.4836	55.9188	0.1997	
nMMSBM_[2]	1	0.3120	0.1816	0.5701	0.7601	0.2833	0.4837	55.7385	0.1991	
nMMSBM_[2]	2	0.3135	0.1671	0.5707	0.7617	0.2839	0.4843	55.8869	0.1996	
nMMSBM_[2]	3	0.3129	0.1802	0.5704	0.7610	0.2835	0.4840	55.9555	0.1998	
nMMSBM_[2]	4	0.3133	0.1815	0.5704	0.7613	0.2844	0.4845	55.7658	0.1992	
nMMSBM_[2]	5	0.3112	0.1821	0.5700	0.7627	0.2847	0.4836	55.4625	0.1981	
nMMSBM_[2]	6	0.3124	0.1800	0.5700	0.7601	0.2841	0.4829	55.8474	0.1995	
nMMSBM_[2]	7	0.3114	0.1828	0.5710	0.7618	0.2848	0.4845	55.8117	0.1993	
nMMSBM_[2]	8	0.3143	0.1825	0.5703	0.7607	0.2835	0.4837	55.9810	0.1999	
nMMSBM_[2]	9	0.3123	0.1825	0.5706	0.7618	0.2845	0.4835	55.8744	0.1996	
nMMSBM_[2]	10	0.3135	0.1825	0.5704	0.7610	0.2841	0.4840	55.6664	0.1988	
nMMSBM_[2]	11	0.3104	0.1804	0.5701	0.7619	0.2838	0.4830	55.8045	0.1993	
nMMSBM_[2]	12	0.3114	0.1791	0.5698	0.7610	0.2831	0.4827	56.1698	0.2006	
nMMSBM_[2]	13	0.3130	0.1820	0.5697	0.7606	0.2850	0.4834	55.8182	0.1994	
nMMSBM_[2]	14	0.3129	0.1798	0.5689	0.7611	0.2844	0.4834	55.9682	0.1999	
nMMSBM_[2]	15	0.3132	0.1813	0.5700	0.7614	0.2842	0.4837	55.6730	0.1988	
nMMSBM_[2]	16	0.3124	0.1800	0.5708	0.7602	0.2844	0.4835	55.9729	0.1999	
nMMSBM_[2]	17	0.3126	0.1668	0.5702	0.7600	0.2839	0.4835	56.0831	0.2003	
nMMSBM_[2]	18	0.3125	0.1819	0.5706	0.7619	0.2834	0.4842	55.7987	0.1993	
nMMSBM_[2]	19	0.3116	0.1822	0.5703	0.7609	0.2844	0.4835	55.9452	0.1998	
nMMSBM_[2]	20	0.3113	0.1695	0.5710	0.7606	0.2847	0.4845	56.0519	0.2002	
nMMSBM_[2]	21	0.3127	0.1809	0.5702	0.7613	0.2831	0.4835	55.5992	0.1986	
nMMSBM_[2]	22	0.3108	0.1668	0.5707	0.7606	0.2826	0.4831	55.8261	0.1994	
nMMSBM_[2]	23	0.3134	0.1816	0.5704	0.7620	0.2838	0.4842	55.4571	0.1981	
nMMSBM_[2]	24	0.3135	0.1815	0.5710	0.7618	0.2842	0.4845	55.5195	0.1983	
nMMSBM_[2]	25	0.3119	0.1799	0.5710	0.7617	0.2836	0.4840	55.9219	0.1997	
nMMSBM_[2]	26	0.3126	0.1823	0.5690	0.7612	0.2845	0.4834	55.6239	0.1987	
nMMSBM_[2]	27	0.3127	0.1824	0.5708	0.7608	0.2841	0.4839	55.5925	0.1985	
nMMSBM_[2]	28	0.3118	0.1826	0.5682	0.7613	0.2845	0.4832	55.8401	0.1994	
nMMSBM_[2]	29	0.3136	0.1808	0.5707	0.7608	0.2848	0.4841	55.9740	0.1999	
nMMSBM_[2]	30	0.3133	0.1833	0.5702	0.7614	0.2839	0.4840	55.7573	0.1991	
nMMSBM_[2]	31	0.3131	0.1790	0.5703	0.7613	0.2844	0.4829	55.8579	0.1995	
nMMSBM_[2]	32	0.3116	0.1664	0.5700	0.7609	0.2841	0.4835	55.8773	0.1996	
nMMSBM_[2]	33	0.3131	0.1800	0.5714	0.7611	0.2845	0.4841	55.5157	0.1983	
nMMSBM_[2]	34	0.3135	0.1815	0.5702	0.7601	0.2836	0.4839	55.6837	0.1989	
nMMSBM_[2]	35	0.3116	0.1667	0.5707	0.7614	0.2838	0.4839	55.7720	0.1992	
nMMSBM_[2]	36	0.3132	0.1824	0.5701	0.7608	0.2835	0.4838	55.8218	0.1994	
nMMSBM_[2]	37	0.3132	0.1824	0.5703	0.7609	0.2838	0.4840	55.7577	0.1991	
