	run	F1	Acc	P@1	AUCROC	AUCPR	RankAvgPrec	CovErr	CovErrNorm	
nMMSBM_[1]	83	0.1691	0.1876	0.2021	0.7856	0.1591	0.3754	59.0696	0.0798	
nMMSBM_[1]	84	0.1752	0.2125	0.2242	0.7835	0.1603	0.3873	60.5794	0.0819	
nMMSBM_[1]	85	0.1752	0.2148	0.2192	0.7876	0.1569	0.3853	60.4250	0.0817	
nMMSBM_[1]	86	0.1736	0.2000	0.2094	0.7951	0.1588	0.3799	55.8523	0.0755	
nMMSBM_[1]	87	0.1756	0.2157	0.2239	0.7919	0.1617	0.3866	57.9945	0.0784	
nMMSBM_[1]	88	0.1795	0.1959	0.2139	0.7897	0.1579	0.3822	58.4620	0.0790	
nMMSBM_[1]	89	0.1743	0.2048	0.2128	0.7936	0.1577	0.3838	57.5610	0.0778	
nMMSBM_[1]	90	0.1813	0.1936	0.2216	0.7992	0.1666	0.3859	55.1708	0.0746	
nMMSBM_[1]	91	0.1781	0.1947	0.2125	0.7894	0.1633	0.3800	58.7333	0.0794	
nMMSBM_[1]	92	0.1784	0.1993	0.2241	0.7962	0.1600	0.3903	55.5314	0.0750	
nMMSBM_[1]	93	0.1778	0.2046	0.2191	0.7880	0.1622	0.3850	58.0716	0.0785	
nMMSBM_[1]	94	0.1754	0.2034	0.2152	0.7965	0.1614	0.3840	56.7504	0.0767	
nMMSBM_[1]	95	0.1733	0.1910	0.2117	0.7943	0.1604	0.3815	57.7434	0.0780	
nMMSBM_[1]	96	0.1714	0.1773	0.2079	0.7879	0.1594	0.3783	59.2315	0.0800	
nMMSBM_[1]	97	0.1772	0.1980	0.2217	0.7883	0.1597	0.3847	60.1838	0.0813	
nMMSBM_[1]	98	0.1684	0.1882	0.2019	0.7929	0.1567	0.3793	56.4325	0.0763	
nMMSBM_[1]	99	0.1707	0.2086	0.2047	0.7862	0.1606	0.3730	59.9149	0.0810	
KNN_[1]	0	0.2280	0.2375	0.2537	0.6758	0.1683	0.3470	429.1452	0.5799	
Rand_[1]	0	0.0262	0.0651	0.0008	0.4999	0.0142	0.0740	349.9496	0.4729	
NB_[2]	0	0.0415	0.0811	0.0721	0.7033	0.0594	0.2209	54.3882	0.0735	
NMF_[2]	0	0.0328	0.0937	0.0721	0.5941	0.0471	0.1993	84.8914	0.1147	
PF_[2]	0	0.4528	0.4353	0.4375	0.7803	0.3288	0.5348	280.3717	0.3789	
TF_[2]	0	0.0262	0.0651	0.0042	0.5068	0.0261	0.1106	98.7238	0.1334	
BL_[2]	0	0.0262	0.0651	0.0532	0.5000	0.0135	0.1879	71.7139	0.0969	
nMMSBM_[2]	0	0.3172	0.3241	0.3368	0.7616	0.2509	0.4539	66.4729	0.0898	
nMMSBM_[2]	1	0.3020	0.3165	0.3319	0.7585	0.2525	0.4497	67.5785	0.0913	
nMMSBM_[2]	2	0.3161	0.3215	0.3314	0.7613	0.2536	0.4500	73.5433	0.0994	
nMMSBM_[2]	3	0.3140	0.3230	0.3438	0.7691	0.2580	0.4599	69.6123	0.0941	
nMMSBM_[2]	4	0.3179	0.3313	0.3459	0.7827	0.2583	0.4628	62.1392	0.0840	
nMMSBM_[2]	5	0.3137	0.3202	0.3316	0.7569	0.2542	0.4493	75.4842	0.1020	
nMMSBM_[2]	6	0.3129	0.3246	0.3316	0.7667	0.2535	0.4515	74.2576	0.1003	
nMMSBM_[2]	7	0.3190	0.3263	0.3361	0.7616	0.2515	0.4522	71.9992	0.0973	
nMMSBM_[2]	8	0.3219	0.3272	0.3344	0.7721	0.2554	0.4531	69.8543	0.0944	
nMMSBM_[2]	9	0.3073	0.3190	0.3314	0.7734	0.2532	0.4514	63.7022	0.0861	
nMMSBM_[2]	10	0.3222	0.3272	0.3376	0.7674	0.2575	0.4567	68.2745	0.0923	
nMMSBM_[2]	11	0.3134	0.3189	0.3364	0.7674	0.2552	0.4527	77.7006	0.1050	
nMMSBM_[2]	12	0.3146	0.3268	0.3348	0.7651	0.2577	0.4531	65.5803	0.0886	
nMMSBM_[2]	13	0.3124	0.3279	0.3385	0.7718	0.2606	0.4565	63.3103	0.0856	
nMMSBM_[2]	14	0.3134	0.3245	0.3409	0.7716	0.2555	0.4588	72.7286	0.0983	
nMMSBM_[2]	15	0.3225	0.3311	0.3389	0.7698	0.2575	0.4576	77.3738	0.1046	
nMMSBM_[2]	16	0.3150	0.3279	0.3370	0.7630	0.2553	0.4541	81.2834	0.1098	
nMMSBM_[2]	17	0.3103	0.3192	0.3275	0.7687	0.2526	0.4486	68.9594	0.0932	
nMMSBM_[2]	18	0.3192	0.3235	0.3274	0.7705	0.2568	0.4489	70.1529	0.0948	
nMMSBM_[2]	19	0.3126	0.3247	0.3339	0.7712	0.2588	0.4534	73.8603	0.0998	
nMMSBM_[2]	20	0.3200	0.3308	0.3365	0.7693	0.2553	0.4562	63.0456	0.0852	
nMMSBM_[2]	21	0.3170	0.3260	0.3268	0.7665	0.2519	0.4477	73.2069	0.0989	
nMMSBM_[2]	22	0.3132	0.3234	0.3258	0.7654	0.2487	0.4476	69.3679	0.0937	
nMMSBM_[2]	23	0.3128	0.3240	0.3262	0.7686	0.2475	0.4467	69.8321	0.0944	
nMMSBM_[2]	24	0.3157	0.3207	0.3348	0.7600	0.2524	0.4514	68.6920	0.0928	
nMMSBM_[2]	25	0.3135	0.3246	0.3306	0.7633	0.2526	0.4495	82.1522	0.1110	
nMMSBM_[2]	26	0.3187	0.3294	0.3392	0.7597	0.2506	0.4544	67.1690	0.0908	
nMMSBM_[2]	27	0.3154	0.3271	0.3341	0.7703	0.2546	0.4527	65.4258	0.0884	
nMMSBM_[2]	28	0.3190	0.3304	0.3347	0.7720	0.2593	0.4542	64.1030	0.0866	
nMMSBM_[2]	29	0.3163	0.3261	0.3364	0.7664	0.2517	0.4521	69.7303	0.0942	
nMMSBM_[2]	30	0.3082	0.3182	0.3374	0.7632	0.2574	0.4554	69.2582	0.0936	
nMMSBM_[2]	31	0.3170	0.3268	0.3286	0.7570	0.2531	0.4463	67.7812	0.0916	
nMMSBM_[2]	32	0.3095	0.3276	0.3416	0.7680	0.2514	0.4559	71.4060	0.0965	
nMMSBM_[2]	33	0.3130	0.3217	0.3341	0.7627	0.2496	0.4502	74.0406	0.1001	
nMMSBM_[2]	34	0.3163	0.3263	0.3411	0.7692	0.2581	0.4580	64.1710	0.0867	
nMMSBM_[2]	35	0.3226	0.3281	0.3336	0.7688	0.2531	0.4515	66.3557	0.0897	
nMMSBM_[2]	36	0.3131	0.3258	0.3336	0.7593	0.2520	0.4516	65.2304	0.0881	
nMMSBM_[2]	37	0.3173	0.3269	0.3366	0.7624	0.2578	0.4527	67.4628	0.0912	
nMMSBM_[2]	38	0.3122	0.3246	0.3370	0.7602	0.2491	0.4531	73.9273	0.0999	
nMMSBM_[2]	39	0.3170	0.3269	0.3327	0.7597	0.2531	0.4482	79.3588	0.1072	
nMMSBM_[2]	40	0.3171	0.3246	0.3370	0.7769	0.2582	0.4578	64.8941	0.0877	
nMMSBM_[2]	41	0.3138	0.3264	0.3401	0.7598	0.2539	0.4558	65.4076	0.0884	
nMMSBM_[2]	42	0.3187	0.3273	0.3375	0.7554	0.2555	0.4534	72.6978	0.0982	
nMMSBM_[2]	43	0.3164	0.3265	0.3301	0.7687	0.2508	0.4504	73.9393	0.0999	
nMMSBM_[2]	44	0.3156	0.3256	0.3315	0.7704	0.2578	0.4507	68.1937	0.0922	
nMMSBM_[2]	45	0.3100	0.3175	0.3341	0.7643	0.2561	0.4515	72.7353	0.0983	
nMMSBM_[2]	46	0.3183	0.3256	0.3321	0.7711	0.2582	0.4503	69.0739	0.0933	
nMMSBM_[2]	47	0.3180	0.3275	0.3336	0.7651	0.2534	0.4511	68.4922	0.0926	
nMMSBM_[2]	48	0.3155	0.3213	0.3364	0.7669	0.2580	0.4548	67.1109	0.0907	
nMMSBM_[2]	49	0.3175	0.3290	0.3379	0.7683	0.2562	0.4547	66.1025	0.0893	
nMMSBM_[2]	50	0.3133	0.3260	0.3356	0.7613	0.2524	0.4512	72.7365	0.0983	
nMMSBM_[2]	51	0.3209	0.3301	0.3381	0.7705	0.2524	0.4548	66.4152	0.0898	
nMMSBM_[2]	52	0.3185	0.3315	0.3386	0.7691	0.2560	0.4535	68.4253	0.0925	
nMMSBM_[2]	53	0.3180	0.3272	0.3343	0.7699	0.2521	0.4528	68.1151	0.0920	
nMMSBM_[2]	54	0.3128	0.3246	0.3371	0.7593	0.2561	0.4540	71.4656	0.0966	
nMMSBM_[2]	55	0.3156	0.3252	0.3367	0.7665	0.2565	0.4558	72.5835	0.0981	
nMMSBM_[2]	56	0.3077	0.3267	0.3336	0.7636	0.2559	0.4518	67.6589	0.0914	
nMMSBM_[2]	57	0.3124	0.3231	0.3303	0.7601	0.2511	0.4504	71.5624	0.0967	
nMMSBM_[2]	58	0.3165	0.3280	0.3324	0.7680	0.2538	0.4491	69.2643	0.0936	
nMMSBM_[2]	59	0.3216	0.3254	0.3388	0.7642	0.2591	0.4552	84.0283	0.1136	
nMMSBM_[2]	60	0.3179	0.3276	0.3295	0.7632	0.2561	0.4504	77.3856	0.1046	
nMMSBM_[2]	61	0.3215	0.3255	0.3387	0.7697	0.2558	0.4554	66.4897	0.0899	
nMMSBM_[2]	62	0.3198	0.3282	0.3357	0.7739	0.2525	0.4521	60.5088	0.0818	
nMMSBM_[2]	63	0.3187	0.3235	0.3369	0.7605	0.2530	0.4537	76.8087	0.1038	
nMMSBM_[2]	64	0.3104	0.3223	0.3361	0.7593	0.2550	0.4538	73.4927	0.0993	
nMMSBM_[2]	65	0.3170	0.3259	0.3301	0.7622	0.2517	0.4491	70.6991	0.0955	
nMMSBM_[2]	66	0.3154	0.3304	0.3392	0.7672	0.2573	0.4543	65.1337	0.0880	
nMMSBM_[2]	67	0.3110	0.3213	0.3252	0.7777	0.2522	0.4488	66.9897	0.0905	
nMMSBM_[2]	68	0.3113	0.3198	0.3308	0.7559	0.2510	0.4515	73.0504	0.0987	
