	run	F1	Acc	P@1	AUCROC	AUCPR	RankAvgPrec	CovErr	CovErrNorm	
nMMSBM_[1, 1]	73	0.3216	0.1410	0.2440	0.6252	0.2502	0.4365	3.4989	0.3499	
nMMSBM_[1, 1]	74	0.3221	0.1413	0.2443	0.6268	0.2509	0.4365	3.5047	0.3505	
nMMSBM_[1, 1]	75	0.3205	0.1419	0.2431	0.6267	0.2501	0.4356	3.5056	0.3506	
nMMSBM_[1, 1]	76	0.3200	0.1387	0.2409	0.6250	0.2450	0.4343	3.5098	0.3510	
nMMSBM_[1, 1]	77	0.3224	0.1407	0.2460	0.6271	0.2518	0.4377	3.5009	0.3501	
nMMSBM_[1, 1]	78	0.3201	0.1400	0.2417	0.6256	0.2487	0.4352	3.5017	0.3502	
nMMSBM_[1, 1]	79	0.3213	0.1400	0.2429	0.6263	0.2506	0.4358	3.5022	0.3502	
nMMSBM_[1, 1]	80	0.3192	0.1395	0.2425	0.6254	0.2497	0.4346	3.5185	0.3518	
nMMSBM_[1, 1]	81	0.3205	0.1421	0.2428	0.6269	0.2502	0.4355	3.5102	0.3510	
nMMSBM_[1, 1]	82	0.3205	0.1396	0.2427	0.6262	0.2492	0.4356	3.5043	0.3504	
nMMSBM_[1, 1]	83	0.3196	0.1382	0.2429	0.6252	0.2482	0.4346	3.5220	0.3522	
nMMSBM_[1, 1]	84	0.3204	0.1443	0.2420	0.6261	0.2490	0.4345	3.5142	0.3514	
nMMSBM_[1, 1]	85	0.3211	0.1420	0.2436	0.6262	0.2499	0.4364	3.4967	0.3497	
nMMSBM_[1, 1]	86	0.3212	0.1373	0.2437	0.6264	0.2512	0.4362	3.5061	0.3506	
nMMSBM_[1, 1]	87	0.3207	0.1421	0.2441	0.6263	0.2502	0.4362	3.5008	0.3501	
nMMSBM_[1, 1]	88	0.3197	0.1411	0.2435	0.6254	0.2487	0.4357	3.5067	0.3507	
nMMSBM_[1, 1]	89	0.3208	0.1399	0.2421	0.6270	0.2506	0.4348	3.5124	0.3512	
nMMSBM_[1, 1]	90	0.3200	0.1389	0.2419	0.6263	0.2480	0.4348	3.5089	0.3509	
nMMSBM_[1, 1]	91	0.3214	0.1397	0.2445	0.6261	0.2507	0.4371	3.4969	0.3497	
nMMSBM_[1, 1]	92	0.3222	0.1417	0.2447	0.6270	0.2523	0.4368	3.5062	0.3506	
nMMSBM_[1, 1]	93	0.3213	0.1396	0.2438	0.6276	0.2510	0.4359	3.5109	0.3511	
nMMSBM_[1, 1]	94	0.3236	0.1417	0.2462	0.6277	0.2525	0.4383	3.4876	0.3488	
nMMSBM_[1, 1]	95	0.3217	0.1427	0.2437	0.6261	0.2509	0.4362	3.5056	0.3506	
